"10","11","1285","2268","3371"
"SLFN12","ANKRD11",NA,NA,NA
"SLFN12L","RFLNB",NA,NA,NA
"TAF15","GLOD4",NA,NA,NA
"CCL5","ABR",NA,NA,NA
"AATF","INPP5K",NA,NA,NA
"RPL23","RPA1",NA,NA,NA
"CDK12","MNT",NA,NA,NA
"WIPF2","ATP2A3",NA,NA,NA
"NT5C3B","MYBBP1A",NA,NA,NA
"CDC27","ARRB2",NA,NA,NA
"KPNB1","C1QBP",NA,NA,NA
"SCRN2","DLG4",NA,NA,NA
"CBX1","ACADVL",NA,NA,NA
"PHB1","ELP5",NA,NA,NA
"RSAD1","KDM6B",NA,NA,NA
"SPAG9","CTC1",NA,NA,NA
"TRIM25","ADPRM",NA,NA,NA
